# Hosts information in Wireshark 
#
# Host data gathered from /home/ishtar/github/ntua-netmgmnt/lab4/trace_b.cap

Key:0xaf0d6693 IP: 147.102.13.175, Name: netrino.netmode.ece.ntua.gr
Key:0x500d6693 IP: 147.102.13.80, Name: marvin.netmode.ece.ntua.gr
Key:0xf10d6693 IP: 147.102.13.241, Name: hulk.netmode.ece.ntua.gr
Key:0x920d6693 IP: 147.102.13.146, Name: myplc.netmode.ece.ntua.gr
Key:0x330d6693 IP: 147.102.13.51, Name: sandra.netmode.ece.ntua.gr
Key:0xd40d6693 IP: 147.102.13.212, Name: dhcp-212.netmode.ece.ntua.gr
Key:0x750d6693 IP: 147.102.13.117, Name: mule.netmode.ece.ntua.gr
Key:0x160d6693 IP: 147.102.13.22, Name: argugrid-rv.netmode.ece.ntua.gr
Key:0xb70d6693 IP: 147.102.13.183, Name: cookie08.netmode.ece.ntua.gr
Key:0x580d6693 IP: 147.102.13.88, Name: donkey.netmode.ece.ntua.gr
Key:0xf90d6693 IP: 147.102.13.249, Name: space-man.netmode.ece.ntua.gr
Key:0x3b0d6693 IP: 147.102.13.59, Name: darthvader.netmode.ece.ntua.gr
Key:0x7d0d6693 IP: 147.102.13.125, Name: leonidas.netmode.ece.ntua.gr
Key:0x1e0d6693 IP: 147.102.13.30, Name: cornuto.netmode.ece.ntua.gr
Key:0x10d6693 IP: 147.102.13.1, Name: averel.netmode.ece.ntua.gr
Key:0x430d6693 IP: 147.102.13.67, Name: dhcp-67.netmode.ece.ntua.gr
Key:0xd2de6693 IP: 147.102.222.210, Name: achilles.noc.ntua.gr
Key:0x850d6693 IP: 147.102.13.133, Name: dhcp-133.netmode.ece.ntua.gr
Key:0x260d6693 IP: 147.102.13.38, Name: picolo.netmode.ece.ntua.gr
